127.0.0.1 - - [17/Sep/2021:10:37:01 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/Sep/2021:10:37:44 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 500 9122
0:0:0:0:0:0:0:1 - - [17/Sep/2021:10:37:44 +0900] "GET /hoyaMall/js/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [17/Sep/2021:10:37:44 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Sep/2021:10:37:49 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 12795
0:0:0:0:0:0:0:1 - - [17/Sep/2021:10:37:49 +0900] "GET /hoyaMall/images/close.png HTTP/1.1" 200 3858
0:0:0:0:0:0:0:1 - - [17/Sep/2021:10:37:49 +0900] "GET /hoyaMall/images/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 200 22181
0:0:0:0:0:0:0:1 - - [17/Sep/2021:10:37:49 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0011.jpg HTTP/1.1" 200 178501
0:0:0:0:0:0:0:1 - - [17/Sep/2021:10:37:49 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0014.jpg HTTP/1.1" 200 130325
0:0:0:0:0:0:0:1 - - [17/Sep/2021:10:37:49 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0020.jpg HTTP/1.1" 200 76845
0:0:0:0:0:0:0:1 - - [17/Sep/2021:10:37:49 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC1.jpg HTTP/1.1" 200 241587
0:0:0:0:0:0:0:1 - - [17/Sep/2021:10:37:49 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC3.jpg HTTP/1.1" 200 321897
0:0:0:0:0:0:0:1 - - [17/Sep/2021:10:37:52 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC2.jpg HTTP/1.1" 200 303064
0:0:0:0:0:0:0:1 - - [17/Sep/2021:15:08:53 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 12949
0:0:0:0:0:0:0:1 - - [17/Sep/2021:15:09:36 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 12986
0:0:0:0:0:0:0:1 - - [17/Sep/2021:15:22:50 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 13013
0:0:0:0:0:0:0:1 - - [17/Sep/2021:15:23:10 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 13039
0:0:0:0:0:0:0:1 - - [17/Sep/2021:15:23:18 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 13039
0:0:0:0:0:0:0:1 - - [17/Sep/2021:15:23:28 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 13039
0:0:0:0:0:0:0:1 - - [17/Sep/2021:15:25:00 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 13041
0:0:0:0:0:0:0:1 - - [17/Sep/2021:15:26:55 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 13043
0:0:0:0:0:0:0:1 - - [17/Sep/2021:16:05:44 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 13125
0:0:0:0:0:0:0:1 - - [17/Sep/2021:16:06:54 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 13172
0:0:0:0:0:0:0:1 - - [17/Sep/2021:16:06:54 +0900] "GET /images/hoya_deco.jpg HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [17/Sep/2021:16:07:15 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 13214
0:0:0:0:0:0:0:1 - - [17/Sep/2021:16:07:16 +0900] "GET /images/hoya_deco.jpg HTTP/1.1" 404 1098
