0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:12 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:13 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:13 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:13 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:13 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:13 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:13 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:14 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:14 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:14 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:14 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:14 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [30/Aug/2021:12:42:14 +0900] "GET /hoyaMall/pdt_best_item.rank HTTP/1.1" 200 8494
