127.0.0.1 - - [24/Jul/2021:18:02:47 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Jul/2021:18:02:48 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8271
0:0:0:0:0:0:0:1 - - [24/Jul/2021:18:02:48 +0900] "GET /hoyaMall/js/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [24/Jul/2021:18:02:48 +0900] "GET /hoyaMall/images/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 200 22181
0:0:0:0:0:0:0:1 - - [24/Jul/2021:18:02:49 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC1.jpg HTTP/1.1" 200 471861
0:0:0:0:0:0:0:1 - - [24/Jul/2021:18:02:49 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/Jul/2021:18:03:03 +0900] "GET /hoyaMall/join_view.join HTTP/1.1" 200 36563
0:0:0:0:0:0:0:1 - - [24/Jul/2021:19:21:21 +0900] "GET /hoyaMall/join_view.join HTTP/1.1" 200 36563
0:0:0:0:0:0:0:1 - - [24/Jul/2021:19:21:24 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 9779
0:0:0:0:0:0:0:1 - - [24/Jul/2021:19:21:28 +0900] "GET /hoyaMall/join_view.join HTTP/1.1" 200 36563
0:0:0:0:0:0:0:1 - - [24/Jul/2021:20:52:35 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 27098
0:0:0:0:0:0:0:1 - - [24/Jul/2021:20:53:08 +0900] "POST /hoyaMall/join_proc.join HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2021:20:53:08 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8271
0:0:0:0:0:0:0:1 - - [24/Jul/2021:20:53:08 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC1.jpg HTTP/1.1" 200 471861
0:0:0:0:0:0:0:1 - - [24/Jul/2021:20:55:04 +0900] "GET /hoyaMall/join_view.join HTTP/1.1" 200 36563
0:0:0:0:0:0:0:1 - - [24/Jul/2021:20:55:10 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 27098
0:0:0:0:0:0:0:1 - - [24/Jul/2021:20:56:04 +0900] "POST /hoyaMall/join_proc.join HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2021:20:56:04 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8271
0:0:0:0:0:0:0:1 - - [24/Jul/2021:21:17:29 +0900] "GET /hoyaMall/join_view.join HTTP/1.1" 200 36563
0:0:0:0:0:0:0:1 - - [24/Jul/2021:21:17:32 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 27098
0:0:0:0:0:0:0:1 - - [24/Jul/2021:21:18:14 +0900] "POST /hoyaMall/join_proc.join HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2021:21:18:14 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8271
0:0:0:0:0:0:0:1 - - [24/Jul/2021:21:29:00 +0900] "GET /hoyaMall/join_view.join HTTP/1.1" 200 36563
0:0:0:0:0:0:0:1 - - [24/Jul/2021:21:29:03 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 27098
0:0:0:0:0:0:0:1 - - [24/Jul/2021:21:29:34 +0900] "POST /hoyaMall/join_proc.join HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2021:21:29:34 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8271
0:0:0:0:0:0:0:1 - - [24/Jul/2021:21:41:02 +0900] "GET /hoyaMall/join_view.join HTTP/1.1" 200 36563
0:0:0:0:0:0:0:1 - - [24/Jul/2021:21:41:04 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 27098
0:0:0:0:0:0:0:1 - - [24/Jul/2021:21:41:31 +0900] "POST /hoyaMall/join_proc.join HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2021:21:41:31 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8271
0:0:0:0:0:0:0:1 - - [24/Jul/2021:21:43:41 +0900] "GET /hoyaMall/join_view.join HTTP/1.1" 200 36563
0:0:0:0:0:0:0:1 - - [24/Jul/2021:21:43:44 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 27098
0:0:0:0:0:0:0:1 - - [24/Jul/2021:21:44:19 +0900] "POST /hoyaMall/join_proc.join HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2021:21:44:19 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8271
0:0:0:0:0:0:0:1 - - [24/Jul/2021:22:04:59 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 9779
0:0:0:0:0:0:0:1 - - [24/Jul/2021:22:53:26 +0900] "POST /hoyaMall/login_proc.login HTTP/1.1" 500 82
0:0:0:0:0:0:0:1 - - [24/Jul/2021:22:53:27 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 9779
