127.0.0.1 - - [14/May/2021:11:45:10 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/May/2021:11:45:11 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 7769
0:0:0:0:0:0:0:1 - - [14/May/2021:11:45:11 +0900] "GET /hoyaMall/js/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [14/May/2021:11:45:11 +0900] "GET /hoyaMall/images/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 200 22181
0:0:0:0:0:0:0:1 - - [14/May/2021:11:45:11 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC1.jpg HTTP/1.1" 200 471861
0:0:0:0:0:0:0:1 - - [14/May/2021:11:45:11 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/May/2021:11:46:14 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 7784
0:0:0:0:0:0:0:1 - - [14/May/2021:11:46:17 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 7836
0:0:0:0:0:0:0:1 - - [14/May/2021:11:46:17 +0900] "GET /src/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [14/May/2021:11:47:47 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 7836
0:0:0:0:0:0:0:1 - - [14/May/2021:11:47:47 +0900] "GET /src/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [14/May/2021:11:47:56 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 7836
0:0:0:0:0:0:0:1 - - [14/May/2021:11:47:56 +0900] "GET /src/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [14/May/2021:11:47:56 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 7836
0:0:0:0:0:0:0:1 - - [14/May/2021:11:47:56 +0900] "GET /src/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 404 1143
