127.0.0.1 - - [26/Jul/2021:19:38:48 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Jul/2021:19:38:49 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8271
0:0:0:0:0:0:0:1 - - [26/Jul/2021:19:38:49 +0900] "GET /hoyaMall/js/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [26/Jul/2021:19:38:49 +0900] "GET /hoyaMall/images/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 200 22181
0:0:0:0:0:0:0:1 - - [26/Jul/2021:19:38:49 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC1.jpg HTTP/1.1" 200 471861
0:0:0:0:0:0:0:1 - - [26/Jul/2021:19:38:50 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Jul/2021:19:38:59 +0900] "GET /hoyaMall/join_view.join HTTP/1.1" 200 36563
0:0:0:0:0:0:0:1 - - [26/Jul/2021:19:39:02 +0900] "GET /hoyaMall/join_form.join HTTP/1.1" 200 27098
0:0:0:0:0:0:0:1 - - [26/Jul/2021:20:03:44 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 9779
0:0:0:0:0:0:0:1 - - [26/Jul/2021:20:04:09 +0900] "POST /hoyaMall/login_proc.login HTTP/1.1" 500 82
0:0:0:0:0:0:0:1 - - [26/Jul/2021:23:46:59 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 9779
0:0:0:0:0:0:0:1 - - [26/Jul/2021:23:47:12 +0900] "POST /hoyaMall/login_proc.login HTTP/1.1" 200 8174
0:0:0:0:0:0:0:1 - - [26/Jul/2021:23:47:13 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC1.jpg HTTP/1.1" 200 471861
0:0:0:0:0:0:0:1 - - [26/Jul/2021:23:47:15 +0900] "GET /hoyaMall/logout_proc.login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2021:23:47:15 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8271
0:0:0:0:0:0:0:1 - - [26/Jul/2021:23:49:30 +0900] "GET /hoyaMall/join_view.join HTTP/1.1" 200 36563
0:0:0:0:0:0:0:1 - - [26/Jul/2021:23:49:31 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 9779
0:0:0:0:0:0:0:1 - - [26/Jul/2021:23:49:43 +0900] "POST /hoyaMall/login_proc.login HTTP/1.1" 200 8174
0:0:0:0:0:0:0:1 - - [26/Jul/2021:23:50:02 +0900] "GET /hoyaMall/logout_proc.login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2021:23:50:02 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8271
0:0:0:0:0:0:0:1 - - [26/Jul/2021:23:50:03 +0900] "GET /hoyaMall/login_view.login HTTP/1.1" 200 9779
0:0:0:0:0:0:0:1 - - [26/Jul/2021:23:50:13 +0900] "POST /hoyaMall/login_proc.login HTTP/1.1" 200 8177
0:0:0:0:0:0:0:1 - - [26/Jul/2021:23:50:20 +0900] "GET /hoyaMall/logout_proc.login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2021:23:50:20 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8271
