127.0.0.1 - - [29/Jul/2021:20:04:05 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Jul/2021:20:04:06 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8271
0:0:0:0:0:0:0:1 - - [29/Jul/2021:20:04:06 +0900] "GET /hoyaMall/js/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [29/Jul/2021:20:04:06 +0900] "GET /hoyaMall/images/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 200 22181
0:0:0:0:0:0:0:1 - - [29/Jul/2021:20:04:06 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC1.jpg HTTP/1.1" 200 471861
0:0:0:0:0:0:0:1 - - [29/Jul/2021:20:04:07 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Jul/2021:20:05:08 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 200 8271
0:0:0:0:0:0:0:1 - - [29/Jul/2021:20:05:47 +0900] "GET /hoyaMall/admin/login/adminLogin.jsp HTTP/1.1" 200 8075
0:0:0:0:0:0:0:1 - - [29/Jul/2021:20:05:47 +0900] "GET /hoyaMall/admin/login/js/jquery-3.5.1.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [29/Jul/2021:20:05:47 +0900] "GET /src/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [29/Jul/2021:20:10:43 +0900] "GET /hoyaMall/admin/login/adminLogin.jsp HTTP/1.1" 200 8172
0:0:0:0:0:0:0:1 - - [29/Jul/2021:20:10:43 +0900] "GET /hoyaMall/admin/login/js/jquery-3.5.1.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [29/Jul/2021:20:10:43 +0900] "GET /src/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [29/Jul/2021:20:15:17 +0900] "GET /hoyaMall/admin/login/adminLogin.jsp HTTP/1.1" 200 8177
