127.0.0.1 - - [02/Sep/2021:09:44:12 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:44:13 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 500 2357
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:44:13 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:44:57 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10247
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:44:57 +0900] "GET /hoyaMall/js/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:44:57 +0900] "GET /hoyaMall/images/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 200 22181
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:44:57 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0011.jpg HTTP/1.1" 200 178501
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:44:57 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0014.jpg HTTP/1.1" 200 130325
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:44:57 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0020.jpg HTTP/1.1" 200 76845
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:44:57 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC1.jpg HTTP/1.1" 200 241587
0:0:0:0:0:0:0:1 - - [02/Sep/2021:09:45:01 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:10:10:09 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC2.jpg HTTP/1.1" 200 303064
0:0:0:0:0:0:0:1 - - [02/Sep/2021:10:11:25 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC3.jpg HTTP/1.1" 200 321897
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:11:52 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:13:40:57 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:08:11 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:08:13 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10469
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:08:13 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:09:09 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10511
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:09:09 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:09:38 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10595
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:10:36 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10676
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:13:56 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10777
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:14:18 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10513
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:14:39 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10513
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:14:40 +0900] "GET /hoyaMall/js/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:14:40 +0900] "GET /hoyaMall/images/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 200 22181
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:14:40 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0011.jpg HTTP/1.1" 200 178501
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:14:40 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0020.jpg HTTP/1.1" 200 76845
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:14:40 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0014.jpg HTTP/1.1" 200 130325
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:14:40 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC1.jpg HTTP/1.1" 200 241587
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:31:12 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10597
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:32:21 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10597
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:32:52 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10683
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:34:15 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10624
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:34:34 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10633
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:35:05 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10599
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:38:03 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10513
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:38:54 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10598
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:39:07 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10513
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:39:15 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10513
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:39:42 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10597
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:39:53 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10597
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:45:06 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10628
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:45:36 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10628
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:46:56 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10658
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:48:54 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 10692
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:56:37 +0900] "GET /hoyaMall/pdt_list.pdt HTTP/1.1" 200 3809
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:56:37 +0900] "GET /hoyaMall/product/pdt_img/undulata12.jpg HTTP/1.1" 200 41341
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:58:51 +0900] "GET /hoyaMall/pdt_list.pdt HTTP/1.1" 200 3809
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:58:55 +0900] "GET /hoyaMall/pdt_list.pdt HTTP/1.1" 200 3809
0:0:0:0:0:0:0:1 - - [02/Sep/2021:15:58:58 +0900] "GET /hoyaMall/pdt_list.pdt HTTP/1.1" 200 3809
0:0:0:0:0:0:0:1 - - [02/Sep/2021:16:57:51 +0900] "GET /hoyaMall/pdt_list.pdt HTTP/1.1" 200 3809
0:0:0:0:0:0:0:1 - - [02/Sep/2021:17:08:53 +0900] "GET /hoyaMall/pdt_list.pdt HTTP/1.1" 500 3418
0:0:0:0:0:0:0:1 - - [02/Sep/2021:17:09:06 +0900] "GET /hoyaMall/pdt_list.pdt HTTP/1.1" 200 3809
0:0:0:0:0:0:0:1 - - [02/Sep/2021:17:09:06 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0011.jpg HTTP/1.1" 200 178501
0:0:0:0:0:0:0:1 - - [02/Sep/2021:17:09:06 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0014.jpg HTTP/1.1" 200 130325
0:0:0:0:0:0:0:1 - - [02/Sep/2021:17:09:06 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0020.jpg HTTP/1.1" 200 76845
0:0:0:0:0:0:0:1 - - [02/Sep/2021:17:13:54 +0900] "GET /hoyaMall/pdt_list.pdt HTTP/1.1" 200 3809
